,Number_#,Name,Realise_year,Certificate,Genre,Rating
0,['1.'],['Red Dead Redemption II'],['(2018 Video Game)'],['18+'],"['\nAction, Adventure, Crime            ']",['9.7']
1,['2.'],['Одни из нас'],['(2013 Video Game)'],['18+'],"['\nAction, Adventure, Drama            ']",['9.7']
2,['3.'],['Red Dead Redemption'],['(2010 Video Game)'],"['\nAction, Adventure, Crime            ']",[],['9.4']
3,['4.'],['Wanda to kyozô'],['(2005 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.2']
4,['5.'],['The Elder Scrolls V: Skyrim'],['(2011 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.3']
5,['6.'],['Horizon Zero Dawn'],['(2017 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['8.9']
6,['7.'],['Silent Hill 2'],['(2001 Video Game)'],['18+'],"['\nDrama, Horror, Mystery            ']",['9.4']
7,['8.'],['Disco Elysium'],['(2019 Video Game)'],"['\nComedy, Crime, Drama            ']",[],['9.1']
8,['9.'],['God of War: Ragnarök'],['(2022 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.6']
9,['10.'],['Persona 4 Golden'],['(2012 Video Game)'],"['\nAction, Adventure, Comedy            ']",[],['9.1']
10,['11.'],['Persona 5'],['(2016 Video Game)'],['16+'],"['\nAction, Adventure, Comedy            ']",['9.2']
11,['12.'],['Chrono Trigger'],['(1995 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.4']
12,['13.'],['Ghost of Tsushima'],['(2020 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.2']
13,['14.'],['Mass Effect 2'],['(2010 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.5']
14,['15.'],['Journey'],['(2012 Video Game)'],"['\nAdventure, Fantasy            ']",[],['8.5']
15,['16.'],['What Remains of Edith Finch'],['(2017 Video Game)'],"['\nAdventure, Drama, Mystery            ']",[],['8.6']
16,['17.'],['God of War'],['(2018 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.5']
17,['18.'],['Grand Theft Auto V'],['(2013 Video Game)'],['18+'],"['\nAction, Crime, Drama            ']",['9.5']
18,['19.'],['The Walking Dead: The Game - Season 1'],['(2012 Video Game)'],"['\nDrama, Horror, Sci-Fi            ']",[],['9.2']
19,['20.'],['Uncharted 2: Среди воров'],['(2009 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.3']
20,['21.'],['Ведьмак 3: Дикая Охота'],['(2015 Video Game)'],['18+'],"['\nAction, Adventure, Drama            ']",['9.6']
21,['22.'],['Spec Ops: The Line'],['(2012 Video Game)'],"['\nAction, Drama, Mystery            ']",[],['8.4']
22,['23.'],['BioShock'],['(2007 Video Game)'],"['\nAction, Adventure, Horror            ']",[],['9.1']
23,['24.'],['Batman: Аркхем Сити'],['(2011 Video Game)'],"['\nAction, Crime, Mystery            ']",[],['9.4']
24,['25.'],['Fallout: New Vegas'],['(2010 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['8.9']
25,['26.'],"[""Monkey Island 2: LeChuck's Revenge""]",['(1991 Video Game)'],"['\nAdventure, Comedy, Fantasy            ']",[],['9.2']
26,['27.'],['Grand Theft Auto IV'],['(2008 Video Game)'],"['\nAction, Crime, Drama            ']",[],['8.9']
27,['28.'],['Uncharted 4: Путь вора'],['(2016 Video Game)'],['18+'],"['\nAction, Adventure, Drama            ']",['9.4']
28,['29.'],['Лос-Анджелесский нуар'],['(2011 Video Game)'],['18+'],"['\nAction, Crime, Drama            ']",['8.7']
29,['30.'],['Bloodborne'],['(2015 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.3']
30,['31.'],['Danganronpa 2: Goodbye Despair'],['(2012 Video Game)'],"['\nAdventure, Mystery, Thriller            ']",[],['8.5']
31,['32.'],['Heavy Rain'],['(2010 Video Game)'],"['\nCrime, Drama, Mystery            ']",[],['8.8']
32,['33.'],['The Elder Scrolls IV: Oblivion'],['(2006 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['8.9']
33,['34.'],['Одни из нас. Часть II'],['(2020 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['8.8']
34,['35.'],['Hotline Miami'],['(2012 Video Game)'],"['\nAction, Crime, Horror            ']",[],['8.3']
35,['36.'],['Uncharted 3: Иллюзии Дрейка'],['(2011 Video Game)'],['18+'],"['\nAction, Adventure, Fantasy            ']",['9']
36,['37.'],['NieR: Automata'],['(2017 Video Game)'],['16+'],"['\nAction, Adventure, Drama            ']",['8.8']
